                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.8381,                 1.5276,                 1.6941,                 1.7209,                0.05293,                0.86667,                0.06409,                0.01969,                0.11153,                   0.55,                0.16675,                  0.039,                 2.4028,                  1.953,                 3.1467,                 2.1102,              0.0014822,              0.0014822,              0.0014822
                     58,                 1.8777,                  1.467,                 1.7163,                 1.6995,                0.56178,                   0.05,                0.01734,                0.00471,                0.56445,                    0.1,                0.04919,                 0.0159,                 3.4157,                  2.075,                 3.3927,                   2.05,              0.0014789,              0.0014789,              0.0014789
                     59,                  1.899,                 1.5321,                 1.6758,                 1.7258,                0.59446,                0.18333,                0.09734,                0.03471,                0.42342,                    0.9,                0.65725,                0.12502,                 2.3391,                 1.8999,                 2.2451,                 2.0686,              0.0014756,              0.0014756,              0.0014756
                     60,                 1.8974,                 1.8049,                 1.6236,                 1.7102,                0.56506,                0.18333,                0.08461,                0.02662,                0.61581,                0.18333,                0.15667,                0.05974,                 2.5281,                 1.7261,                 2.4939,                 2.1532,              0.0014723,              0.0014723,              0.0014723
                     61,                  1.934,                  1.588,                 1.7118,                  1.807,                0.63434,                0.26667,                0.10799,                0.03515,                0.65678,                    0.3,                0.18126,                0.06143,                 2.3588,                  1.807,                 2.5159,                 2.1103,               0.001469,               0.001469,               0.001469
                     62,                 1.8426,                 1.5595,                 1.5655,                 1.6589,                0.61355,                0.11667,                   0.15,                0.06702,                 0.2011,                0.88333,                0.33029,                0.09931,                 2.3378,                 1.7761,                 2.1895,                 2.1277,              0.0014657,              0.0014657,              0.0014657
                     63,                 1.9156,                 1.5516,                 1.6997,                 1.6979,                0.26047,                0.85539,                0.40723,                0.22868,                0.25323,                0.81487,                0.48337,                0.14086,                 2.3554,                 1.7628,                 2.1169,                 2.0193,              0.0014624,              0.0014624,              0.0014624
                     64,                  1.898,                  1.564,                 1.7152,                  1.694,                  0.513,                0.52809,                0.57744,                0.17701,                0.42733,                0.51667,                0.56978,                0.27821,                 2.4773,                 1.9637,                 2.2584,                 2.1016,              0.0014591,              0.0014591,              0.0014591
                     65,                 1.8819,                 1.4872,                 1.7251,                 1.7168,                 0.1416,                    0.9,                0.18613,                0.06929,                0.14139,                0.86667,                0.19713,                 0.0583,                 2.4553,                 1.7178,                 2.4938,                 2.3657,              0.0014558,              0.0014558,              0.0014558
                     66,                 1.9519,                 1.6496,                 1.7424,                 1.7762,                0.09475,                0.91667,                0.35968,                0.14593,                0.67569,                0.18333,                 0.3787,                 0.1728,                 2.5597,                 2.4656,                 4.9868,                 2.1061,              0.0014525,              0.0014525,              0.0014525
